,Unnamed: 0,Country,ISO3,Status,Unnamed: 0,Country,ISO3,Status,Export
91,120,Canada,CAN,200,120,Canada,CAN,200,Exported
92,121,China, Hong Kong Special Administrative Region,200,121,China, Hong Kong Special Administrative Region,200,Exported
93,122,China, Macao Special Administrative Region,200,122,China, Macao Special Administrative Region,200,Exported
94,125,Cook Islands,COK,200,125,Cook Islands,COK,200,Exported
95,126,Costa Rica,CRI,200,126,Costa Rica,CRI,200,Exported
96,127,Croatia,HRV,200,127,Croatia,HRV,200,Exported
97,128,Cyprus,CYP,200,128,Cyprus,CYP,200,Exported
98,130,Denmark,DNK,200,130,Denmark,DNK,200,Exported
99,131,Estonia,EST,200,131,Estonia,EST,200,Exported
100,133,Faroe Islands,FRO,200,133,Faroe Islands,FRO,200,Exported
101,134,Finland,FIN,200,134,Finland,FIN,200,Exported
102,135,France,FRA,200,135,France,FRA,200,Exported
103,138,Germany,DEU,200,138,Germany,DEU,200,Exported
104,139,Gibraltar,GIB,200,139,Gibraltar,GIB,200,Exported
105,140,Greenland,GRL,200,140,Greenland,GRL,200,Exported
106,142,Guernsey,GGY,200,142,Guernsey,GGY,200,Exported
107,145,Hungary,HUN,200,145,Hungary,HUN,200,Exported
108,146,Iceland,ISL,200,146,Iceland,ISL,200,Exported
109,147,Ireland,IRL,200,147,Ireland,IRL,200,Exported
110,148,Isle of Man,IMN,200,148,Isle of Man,IMN,200,Exported
111,149,Israel,ISR,200,149,Israel,ISR,200,Exported
112,150,Italy,ITA,200,150,Italy,ITA,200,Exported
113,151,Japan,JPN,200,151,Japan,JPN,200,Exported
114,152,Jersey,JEY,200,152,Jersey,JEY,200,Exported
115,153,Kiribati,KIR,200,153,Kiribati,KIR,200,Exported
116,154,Latvia,LVA,200,154,Latvia,LVA,200,Exported
117,155,Liechtenstein,LIE,200,155,Liechtenstein,LIE,200,Exported
118,156,Lithuania,LTU,200,156,Lithuania,LTU,200,Exported
119,157,Luxembourg,LUX,200,157,Luxembourg,LUX,200,Exported
120,158,Malaysia,MYS,200,158,Malaysia,MYS,200,Exported
121,159,Malta,MLT,200,159,Malta,MLT,200,Exported
122,160,Marshall Islands,MHL,200,160,Marshall Islands,MHL,200,Exported
123,163,Monaco,MCO,200,163,Monaco,MCO,200,Exported
124,164,Montenegro,MNE,200,164,Montenegro,MNE,200,Exported
125,165,Nauru,NRU,200,165,Nauru,NRU,200,Exported
126,166,Netherlands,NLD,200,166,Netherlands,NLD,200,Exported
127,168,New Zealand,NZL,200,168,New Zealand,NZL,200,Exported
128,169,Niue,NIU,200,169,Niue,NIU,200,Exported
129,172,Norway,NOR,200,172,Norway,NOR,200,Exported
130,173,Palau,PLW,200,173,Palau,PLW,200,Exported
131,175,Poland,POL,200,175,Poland,POL,200,Exported
132,176,Portugal,PRT,200,176,Portugal,PRT,200,Exported
133,180,Romania,ROU,200,180,Romania,ROU,200,Exported
134,184,San Marino,SMR,200,184,San Marino,SMR,200,Exported
135,185,Serbia,SRB,200,185,Serbia,SRB,200,Exported
136,186,Singapore,SGP,200,186,Singapore,SGP,200,Exported
137,187,Slovakia,SVK,200,187,Slovakia,SVK,200,Exported
138,188,Slovenia,SVN,200,188,Slovenia,SVN,200,Exported
139,189,South Georgia and the South Sandwich Islands,SGS,200,189,South Georgia and the South Sandwich Islands,SGS,200,Exported
140,190,Spain,ESP,200,190,Spain,ESP,200,Exported
141,192,Sweden,SWE,200,192,Sweden,SWE,200,Exported
142,193,Switzerland,CHE,200,193,Switzerland,CHE,200,Exported
143,196,Tokelau,TKL,200,196,Tokelau,TKL,200,Exported
144,197,Tuvalu,TUV,200,197,Tuvalu,TUV,200,Exported
145,202,Belize,BLZ,200,202,Belize,BLZ,200,Exported
